,comp-1,comp-2,y
0,0.2091301,0.32628492,0.0
1,0.5435525,0.18705727,0.00065359477124183
2,0.9271748,0.098276906,0.00130718954248366
3,0.8443359,0.19131559,0.00196078431372549
4,0.015854185,0.4210695,0.00261437908496732
5,0.84682745,0.57753414,0.0032679738562091504
6,0.07783811,0.21093631,0.00392156862745098
7,0.31160852,0.4758757,0.004575163398692811
8,0.82236576,0.24010675,0.00522875816993464
9,0.73890543,0.24441929,0.0058823529411764705
10,0.6744922,0.354103,0.006535947712418301
11,0.8486023,0.14294201,0.00718954248366013
12,0.8455935,0.15062219,0.00784313725490196
13,0.7293818,0.12128311,0.00849673202614379
14,0.2640622,0.7844765,0.009150326797385621
15,0.7151363,0.17268416,0.00980392156862745
16,0.9241678,0.6376981,0.01045751633986928
17,0.5288439,0.43961903,0.011111111111111112
18,0.70801806,0.6863476,0.011764705882352941
19,0.8842562,0.1740159,0.01241830065359477
20,0.68819636,0.09308251,0.013071895424836602
21,0.7144116,0.29084077,0.013725490196078431
22,0.17449808,0.31625357,0.01437908496732026
23,0.9326714,0.09868127,0.015032679738562092
24,0.06425791,0.2154608,0.01568627450980392
25,0.51528245,0.96102273,0.016339869281045753
26,0.8525979,0.2051657,0.01699346405228758
27,0.75893986,0.13333994,0.01764705882352941
28,0.15542093,0.4788569,0.018300653594771243
29,0.3227221,0.5343477,0.01895424836601307
30,0.35263866,0.5162354,0.0196078431372549
31,0.553377,0.096045814,0.020261437908496733
32,0.94430304,0.13952145,0.02091503267973856
33,0.8653437,0.67196625,0.021568627450980392
34,0.5413686,0.066302754,0.022222222222222223
35,0.67649066,0.015345806,0.02287581699346405
36,0.49774638,0.43340397,0.023529411764705882
37,0.17569727,0.5250913,0.024183006535947713
38,0.3064252,0.390011,0.02483660130718954
39,0.9144214,0.2367181,0.025490196078431372
40,0.8957845,0.09145855,0.026143790849673203
41,0.8512909,0.24304631,0.02679738562091503
42,0.5459288,0.9891326,0.027450980392156862
43,0.63331443,0.23900269,0.028104575163398694
44,0.85664725,0.25957885,0.02875816993464052
