,comp-1,comp-2,y
0,0.6724166,0.79611355,0.0
1,0.98541826,0.7916927,0.00065359477124183
2,0.90905476,0.9747604,0.00130718954248366
3,0.93553233,0.8657937,0.00196078431372549
4,0.9083657,0.98392314,0.00261437908496732
5,0.652016,0.79269916,0.0032679738562091504
6,0.86310476,0.44298807,0.00392156862745098
7,0.14771852,0.121637665,0.004575163398692811
8,0.26618803,0.44419327,0.00522875816993464
9,0.17578697,0.3377578,0.0058823529411764705
10,0.14085206,0.6654318,0.006535947712418301
11,0.6724466,0.9140842,0.00718954248366013
12,0.31444117,0.5269204,0.00784313725490196
13,0.21124454,0.27941477,0.00849673202614379
14,0.2392851,0.72541517,0.009150326797385621
15,0.28981805,0.097193174,0.00980392156862745
16,0.90904427,0.8291585,0.01045751633986928
17,0.6120323,0.5821812,0.011111111111111112
18,0.062184453,0.19289397,0.011764705882352941
19,0.14069368,0.30217117,0.01241830065359477
20,0.033809904,0.41779685,0.013071895424836602
21,0.30190292,0.7302386,0.013725490196078431
22,0.3004194,0.8844617,0.01437908496732026
23,0.32165197,0.9134307,0.015032679738562092
24,0.9349622,0.7431407,0.01568627450980392
25,0.35369295,0.25295117,0.016339869281045753
26,0.24688801,0.7768582,0.01699346405228758
27,0.38514632,0.6019844,0.01764705882352941
28,0.07175215,0.5235369,0.018300653594771243
29,0.045203853,0.42094457,0.01895424836601307
30,0.08610484,0.3728065,0.0196078431372549
31,0.2966548,0.35359156,0.020261437908496733
32,0.05176506,0.42299604,0.02091503267973856
33,0.14440855,0.26910925,0.021568627450980392
34,0.1394818,0.14465605,0.022222222222222223
35,0.66788065,0.713191,0.02287581699346405
36,0.25685918,0.8943527,0.023529411764705882
37,0.84375405,0.56541723,0.024183006535947713
38,0.8827298,0.6294869,0.02483660130718954
39,0.7664757,0.15470137,0.025490196078431372
40,0.19249004,0.67195815,0.026143790849673203
41,0.20242353,0.6959167,0.02679738562091503
42,0.10050587,0.15066226,0.027450980392156862
43,0.31370062,0.39634025,0.028104575163398694
44,0.15138543,0.734048,0.02875816993464052
45,0.849105,0.080881275,0.029411764705882353
46,0.12894115,0.6518635,0.030065359477124184
47,0.27956408,0.66230714,0.03071895424836601
48,0.02491718,0.44965503,0.03137254901960784
49,0.15208709,0.32905263,0.03202614379084967
50,0.28665414,0.42628813,0.032679738562091505
51,0.75515175,0.5195446,0.03333333333333333
52,0.6307824,0.34762847,0.03398692810457516
53,0.8389929,0.4245806,0.034640522875816995
54,0.10727495,0.84471864,0.03529411764705882
55,0.93309957,0.822633,0.03594771241830065
56,0.021663826,0.65713376,0.036601307189542485
57,0.08501357,0.62999135,0.03725490196078431
58,0.6737447,0.42192078,0.03790849673202614
59,0.1952588,0.13234739,0.038562091503267976
60,0.30707863,0.7326131,0.0392156862745098
61,0.74958587,0.14602223,0.03986928104575163
62,0.95120394,0.47895202,0.040522875816993466
63,0.025395647,0.48965082,0.041176470588235294
64,0.25157315,0.9838021,0.04183006535947712
65,0.23694089,0.64054066,0.042483660130718956
66,0.28931576,0.68469256,0.043137254901960784
67,0.2438799,0.21662313,0.04379084967320261
68,0.055281118,0.44531658,0.044444444444444446
69,0.1470899,0.60139567,0.045098039215686274
70,0.11823878,0.27617466,0.0457516339869281
71,0.1223224,0.17310488,0.046405228758169936
72,0.81051314,0.18212989,0.047058823529411764
73,0.1694925,0.7374371,0.04771241830065359
74,0.20239487,0.15260778,0.048366013071895426
75,0.36438566,0.45552775,0.049019607843137254
76,0.61754966,0.6553425,0.04967320261437908
77,0.76568854,0.67712724,0.05032679738562092
78,0.15840977,0.51307297,0.050980392156862744
79,0.30879784,0.5168878,0.05163398692810457
80,0.6914928,0.4642316,0.05228758169934641
81,0.8266571,0.7045398,0.052941176470588235
82,0.34480527,0.9238458,0.05359477124183006
83,0.363846,0.6985241,0.0542483660130719
84,0.7650642,0.20613718,0.054901960784313725
85,0.36379164,0.5028308,0.05555555555555555
86,0.67884034,0.65022,0.05620915032679739
87,0.16239257,0.5629885,0.056862745098039215
88,0.4502758,0.4435617,0.05751633986928104
89,0.80088776,0.69957215,0.05816993464052288
90,0.13327292,0.76871085,0.058823529411764705
91,0.67549545,0.91156787,0.05947712418300653
92,0.35370925,0.49175072,0.06013071895424837
93,0.3294757,0.35939047,0.060784313725490195
94,0.25551057,0.53839815,0.06143790849673202
95,0.06422513,0.3872589,0.06209150326797386
96,0.84575343,0.044977505,0.06274509803921569
97,0.8434563,0.8457055,0.06339869281045751
98,0.29170594,0.4817003,0.06405228758169934
99,0.338369,0.105257556,0.06470588235294118
100,0.8018973,0.19082867,0.06535947712418301
101,0.7912481,0.7861822,0.06601307189542484
102,0.38832515,0.56521803,0.06666666666666667
103,0.18248464,0.33215725,0.0673202614379085
104,0.23528409,0.21097971,0.06797385620915032
105,0.7536587,0.10016827,0.06862745098039216
106,0.35698852,0.30343047,0.06928104575163399
107,0.7054514,0.82787937,0.06993464052287582
108,0.33959344,0.7694121,0.07058823529411765
109,0.07515014,0.29605374,0.07124183006535947
110,0.7374424,0.24238451,0.0718954248366013
111,0.3675739,0.34851322,0.07254901960784314
112,0.20486178,0.84469813,0.07320261437908497
113,0.27290267,0.3839595,0.0738562091503268
